id	gene	start	end	strand	name	cat	clr
slr2073	gene	913296	913856	+	hypothetical protein YCF50	COG1799S	#C98767
slr2074	gene	914052	914441	+	similar to mannose-1-phosphate guanylyltransferase	COG0662G	#FF5353
ssl3719	gene	914542	914796	-	hypothetical protein	NA	#333333
sll1965	gene	914780	915052	-	hypothetical protein	COG2929S	#C98767
slr2075	gene	915313	915624	+	10kD chaperonin	COG0234O	#72FE95
slr2076	gene	915721	917346	+	60kD chaperonin	COG0459O	#72FE95
slr2077	gene	917816	920014	+	probable ABC transporter, periplasmic binding protein	COG5001T	#93BF96
slr2078	gene	920331	920915	+	hypothetical protein	COG0494LR	#E7A9FE
ssl3712	gene	920942	921466	-	hypothetical protein	-	#333333
sll1747	gene	921549	922637	-	chorismate synthase	COG0082E	#FF7373
sll1746	gene	922844	923230	-	50S ribosomal protein L12	COG0222J	#0066FF
sll1745	gene	923318	923839	-	50S ribosomal protein L10	COG0244J	#0066FF
sll1744	gene	924086	924802	-	50S ribosomal protein L1	COG0081J	#0066FF
sll1743	gene	924889	925314	-	50S ribosomal protein L11	COG0080J	#0066FF
sll1742	gene	925416	926033	-	transcription antitermination protein NusG	COG0250K	#99CCFF
ssl3335	gene	926313	926558	-	preprotein translocase SecE subunit	COG0690U	#4BFE78
sll1740	gene	926860	927228	-	50S ribosomal protein L19	COG0335J	#0066FF
slr1826	gene	927366	927758	+	hypothetical protein	-	#333333
slr1827	gene	927755	928750	+	hypothetical protein	COG0596R	#C27E3A
sll1739	gene	928806	929885	-	unknown protein	-	#333333
sll1738	gene	930148	930843	-	hypothetical protein	COG0465O	#72FE95
sll1737	gene	930907	931389	-	hypothetical protein YCF60	-	#333333
slr1828	gene	931639	931959	+	ferredoxin, petF-like protein	COG0633C	#991616
slr1829	gene	932071	933063	+	putative poly(3-hydroxyalkanoate) synthase component	-	#333333
slr1830	gene	933157	934293	+	poly(3-hydroxyalkanoate) synthase	COG3243I	#FF3333
sll1736	gene	934324	934707	-	hypothetical protein	-	#333333
sll1735	gene	934835	935236	-	hypothetical protein	COG2335M	#A6CAA9
sll1734	gene	935409	936704	-	protein involved in low CO2-inducible, high affinity CO2 uptake	-	#333333
sll1733	gene	936768	938276	-	NADH dehydrogenase subunit 4 (involved in low CO2-inducible, high affinity CO2 uptake)	COG1008C	#991616
sll1732	gene	938393	940240	-	NADH dehydrogenase subunit 5 (involved in low CO2-inducible, high affinity CO2 uptake)	COG1009CP	#FF86E3
sll1730	gene	940638	941270	-	unknown protein	-	#333333
slr1834	gene	941686	943941	+	P700 apoprotein subunit Ia	-	#333333
slr1835	gene	944187	946382	+	P700 apoprotein subunit Ib	-	#333333
sll1726	gene	946522	947511	-	hypothetical protein	COG3173R	#C27E3A
sll1725	gene	947511	949343	-	ATP-binding protein of ABC transporter	COG1132V	#80B584
sll1724	gene	949397	950536	-	probable glycosyltransferase	COG0438M	#A6CAA9
sll1723	gene	950533	951774	-	probable glycosyltransferase	COG0438M	#A6CAA9
sll1722	gene	951797	953098	-	hypothetical protein	COG4671R	#C27E3A
slr1837	gene	953752	954456	+	two-component system response regulator OmpR subfamily	COG0745TK	#C4ABFE
sll1721	gene	954453	955427	-	pyruvate dehydrogenase E1 component, beta subunit	COG0022C	#991616
slr1838	gene	955805	956116	+	carbon dioxide concentrating mechanism protein CcmK homolog 3, putative carboxysome assembly protein	COG4577QC	#AD8BFE
slr1839	gene	956275	956613	+	carbon dioxide concentrating mechanism protein CcmK homolog 4, putative carboxysome assembly protein	COG4577QC	#AD8BFE
slr1840	gene	956673	957788	+	hypothetical protein	COG1929G	#FF5353
slr1841	gene	958137	960029	+	probable porin; major outer membrane protein	-	#333333
slr1842	gene	960156	961094	+	cysteine synthase	COG0031E	#FF7373
slr1843	gene	961201	962730	+	glucose 6-phosphate dehydrogenase	COG0364G	#FF5353
slr1844	gene	962888	965800	+	excinuclease ABC subunit A	COG0178L	#00FFFF
sll1717	gene	965938	967473	-	unknown protein	-	#333333
sll1716	gene	967567	968352	-	putative transposase [ISY523a: 967549 - 968419]	COG3293L	#00FFFF
sll1715	gene	968487	968960	-	hypothetical protein	COG2402R	#C27E3A
sll1714	gene	968893	969294	-	unknown protein	-	#333333
ssl3297	gene	969313	969471	-	hypothetical protein	NA	#333333
sll1713	gene	969762	970868	-	histidinol-phosphate aminotransferase	COG0079E	#FF7373
sll1712	gene	970882	971184	-	DNA binding protein HU	COG0776L	#00FFFF
sll1469	gene	971460	972317	-	hypothetical protein	COG0456R	#C27E3A
slr1535	gene	972485	973954	+	hypothetical protein	-	#333333
slr1536	gene	974053	975489	+	ATP-dependent DNA helicase RecQ	COG0514L	#00FFFF
slr1537	gene	975779	976648	+	unknown protein	COG1215M	#A6CAA9
slr1538	gene	976748	977842	+	cobalamin biosynthesis protein D	COG1903H	#FFA4A4
slr1540	gene	977932	978867	+	mRNA-binding protein	COG0451MG	#D568FD
slr1541	gene	978941	979573	+	hypothetical protein	-	#333333
slr1542	gene	979685	980170	+	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	COG0245I	#FF3333
slr1543	gene	980276	981694	+	DNA-damage-inducible protein F	COG0534V	#80B584
sll1468	gene	981691	982629	-	beta-carotene hydroxylase	COG3239I	#FF3333
ssr2595	gene	982968	983180	+	high light-inducible polypeptide HliB, CAB/ELIP/HLIP superfamily	-	#333333
slr1544	gene	983229	983540	+	unknown protein	-	#333333
slr1545	gene	983804	984475	+	RNA polymerase ECF-type (group 3) sigma-E factor	COG1595K	#99CCFF
slr1546	gene	984562	985200	+	hypothetical protein	COG5662K	#99CCFF
slr1547	gene	985224	986222	+	hypothetical protein	COG0701R	#C27E3A
sll1466	gene	986492	987733	-	probable glycosyltransferase	COG0438M	#A6CAA9
ssl2823	gene	987740	987967	-	hypothetical protein	COG1826U	#4BFE78
sll1464	gene	988072	989505	-	hypothetical protein	COG0397S	#C98767
sll1463	gene	989717	991603	-	cell division protein FtsH	COG0465O	#72FE95
sll1462	gene	991735	992772	-	putative hydrogenase expression/formation protein HypE	COG0309O	#72FE95
sll1461	gene	992821	993483	-	hypothetical protein	COG4636S	#C98767
sll1459	gene	993536	994213	-	stationary-phase survival protein SurE homolog	COG0496R	#C27E3A
slr1549	gene	994343	994906	+	polypeptide deformylase	COG0242J	#0066FF
ssr2611	gene	995022	995219	+	hypothetical protein	-	#333333
slr1550	gene	995275	996807	+	lysyl-tRNA synthetase	COG1190J	#0066FF
sll1457	gene	996850	997806	-	probable glycosyltransferase	COG0463M	#A6CAA9
sll1456	gene	998010	998918	-	unknown protein	COG2242H	#FFA4A4
slr1552	gene	999029	1001563	+	unknown protein	COG5617S	#C98767
sll1455	gene	1001639	1002106	-	hypothetical protein	-	#333333
ssr2615	gene	1002141	1002368	+	hypothetical protein	NA	#333333
smr0013	gene	1002441	1002617	+	hypothetical protein	NA	#333333
sll1454	gene	1002633	1004777	-	ferredoxin-nitrate reductase	COG0243C	#991616
ssl2814	gene	1004822	1005091	-	unknown protein	NA	#333333
sll1453	gene	1005181	1006179	-	nitrate/nitrite transport system ATP-binding protein	COG1116P	#CC3333
sll1452	gene	1006234	1008246	-	nitrate/nitrite transport system ATP-binding protein	COG1116P	#CC3333
sll1451	gene	1008321	1009148	-	nitrate/nitrite transport system permease protein	COG0600P	#CC3333
sll1450	gene	1009234	1010574	-	nitrate/nitrite transport system substrate-binding protein	COG0715P	#CC3333
sll1634	gene	1010710	1011759	-	hypothetical protein	COG0547E	#FF7373
slr1748	gene	1011975	1012619	+	probable phosphoglycerate mutase	COG0406G	#FF5353
ssl3177	gene	1012616	1012888	-	hypothetical protein	COG0797M	#A6CAA9
sll1633	gene	1013045	1014337	-	cell division protein FtsZ	COG0206D	#59955C
sll1632	gene	1014587	1015396	-	hypothetical protein	COG1589M	#A6CAA9
slr1751	gene	1015511	1016782	+	periplasmic carboxyl-terminal protease	COG0793M	#A6CAA9
slr1752	gene	1016830	1017495	+	hypothetical protein	COG4636S	#C98767
sll1144	gene	1017600	1018517	-	hypothetical protein	COG0275M	#A6CAA9
slr1218	gene	1018650	1019126	+	hypothetical protein YCF39	-	#333333
slr1219	gene	1019155	1019583	+	urease accessory protein E	COG2371O	#72FE95
slr1220	gene	1019808	1020761	+	hypothetical protein	-	#333333
slr1222	gene	1021421	1022008	+	unknown protein	-	#333333
sll1143	gene	1022278	1024653	-	ATP-dependent helicase PcrA	COG0210L	#00FFFF
sll1142	gene	1024825	1025346	-	hypothetical protein	COG1259S	#C98767
slr1223	gene	1025519	1026442	+	hypothetical protein	COG1090R	#C27E3A
slr1224	gene	1026511	1027737	+	ATP-binding protein of sugar ABC transporter	COG3839G	#FF5353
slr1225	gene	1027844	1029331	+	serine/threonine kinase	COG0515RTKL	#FF79E1
sll1138	gene	1029337	1030083	-	hypothetical protein	COG0637R	#C27E3A
slr1226	gene	1030195	1030989	+	phosphoribosyl aminoidazole succinocarboxamide synthetase	COG0152F	#FF8E8E
slr1227	gene	1031202	1033787	+	chloroplastic outer envelope membrane protein homolog	COG4775M	#A6CAA9
slr1228	gene	1033902	1035545	+	peptide-chain-release factor 3	COG4108J	#0066FF
slr1229	gene	1035728	1037089	+	sulfate permease	COG0659P	#CC3333
slr1230	gene	1037189	1038052	+	hypothetical protein	COG0589T	#93BF96
sll1135	gene	1038038	1039042	-	unknown protein	COG3380R	#C27E3A
slr1232	gene	1039196	1039732	+	unknown protein	-	#333333
ssr2047	gene	1040092	1040355	+	hypothetical protein	-	#333333
slr1233	gene	1040531	1042258	+	succinate dehydrogenase flavoprotein subunit	COG1053C	#991616
ssr2049	gene	1042306	1042557	+	unknown protein	-	#333333
slr1234	gene	1042609	1042953	+	protein kinase C inhibitor	COG0537FGR	#9B4EE9
slr1235	gene	1042999	1043880	+	hypothetical protein	COG0596R	#C27E3A
slr1236	gene	1043917	1044450	+	hypothetical protein	COG1430S	#C98767
ssl2250	gene	1044517	1044693	-	bacterioferritin-associated ferredoxin	COG2906P	#CC3333
sll1132	gene	1044915	1046366	-	unknown protein	-	#333333
sll1131	gene	1046402	1046830	-	unknown protein	-	#333333
slr1237	gene	1047005	1048357	+	cytosine deaminase	COG0402FR	#A55FEB
sll1130	gene	1048406	1048753	-	unknown protein	-	#333333
ssl2245	gene	1048750	1049016	-	unknown protein	-	#333333
sll1129	gene	1049517	1050407	-	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase	COG0596R	#C27E3A
ssr2060	gene	1050490	1050729	+	unknown protein	-	#333333
ssr2061	gene	1050812	1051078	+	glutaredoxin	COG0695O	#72FE95
slr1238	gene	1051159	1052121	+	glutathione synthetase	COG0189HJ	#AE70ED
ssr2062	gene	1052518	1052784	+	hypothetical protein	-	#333333
sll1127	gene	1052927	1053754	-	1,4-dihydroxy-2-naphthoate synthase	COG0447H	#FFA4A4
slr1239	gene	1053955	1055547	+	pyridine nucleotide transhydrogenase alpha subunit	COG3288C	#991616
slr1240	gene	1055574	1056113	+	unknown protein	-	#333333
slr1241	gene	1056119	1056466	+	hypothetical protein	COG1669R	#C27E3A
ssr2066	gene	1056487	1056717	+	hypothetical protein	NA	#333333
ssr2067	gene	1056714	1056944	+	hypothetical protein	COG1598S	#C98767
slr1434	gene	1056985	1058427	+	pyridine nucleotide transhydrogenase beta subunit	COG1282C	#991616
slr1435	gene	1058537	1059820	+	PmbA protein homolog	COG0312R	#C27E3A
slr1436	gene	1059922	1060773	+	unknown protein	COG0500QR	#AE70ED
slr1437	gene	1060901	1061239	+	unknown protein	-	#333333
slr1438	gene	1061242	1062111	+	hypothetical protein	COG2017G	#FF5353
sll1362	gene	1062238	1065204	-	isoleucyl-tRNA synthetase	COG0060J	#0066FF
ssr2406	gene	1065398	1065622	+	unknown protein	-	#333333
sll1360	gene	1065660	1069010	-	DNA polymerase III subunit gamma/tau [Contains: Ssp dnaX intein]	COG2812L	#00FFFF
slr1440	gene	1069178	1069609	+	hypothetical protein	COG3565R	#C27E3A
sll1359	gene	1069666	1071702	-	unknown protein	COG3258C	#991616
sll1358	gene	1071734	1072918	-	putative oxalate decarboxylase, periplasmic protein	COG2140GR	#C79BF2
sll1356	gene	1073080	1075629	-	glycogen phosphorylase	COG0058G	#FF5353
slr1441	gene	1076065	1076454	+	hypothetical protein	-	#333333
sll1355	gene	1076474	1077019	-	hypothetical protein	COG4636S	#C98767
ssl2648	gene	1077167	1077412	-	hypothetical protein	NA	#333333
slr1442	gene	1077755	1078612	+	hypothetical protein	COG1805C	#991616
slr1443	gene	1078657	1080501	+	serine/threonine kinase	COG0515RTKL	#FF79E1
slr1444	gene	1080695	1081696	+	hypothetical protein	COG5607S	#C98767
ssr2422	gene	1081887	1082141	+	unknown protein	-	#333333
sll1354	gene	1082437	1084716	-	single-strand-DNA-specific exonuclease RecJ	COG0608L	#00FFFF
sll1353	gene	1084757	1087753	-	two-component sensor histidine kinase	COG0642T	#93BF96
sll1352	gene	1087772	1089190	-	unknown protein	COG3463S	#C98767
slr1448	gene	1089400	1090323	+	fructokinase	COG0524G	#FF5353
slr1449	gene	1090686	1091279	+	hypothetical protein	COG3038C	#991616
slr1450	gene	1091317	1091631	+	unknown protein	-	#333333
sll1350	gene	1091698	1092894	-	hypothetical protein	COG1357S	#C98767
sll1349	gene	1092925	1093590	-	phosphoglycolate phosphatase	COG0546R	#C27E3A
sll1348	gene	1093626	1094558	-	hypothetical protein	COG1600C	#991616
sll1282	gene	1094649	1095143	-	riboflavin synthase beta subunit	COG0054H	#FFA4A4
sll1281	gene	1095248	1095436	-	photosystem II PsbZ protein	-	#333333
sll1280	gene	1095772	1096659	-	hypothetical protein	COG0501O	#72FE95
slr1356	gene	1097077	1098063	+	30S ribosomal protein S1	COG0539J	#0066FF
slr1357	gene	1098323	1099171	+	putative transposase [ISY100c: 1098251 - 1099197]	COG3335L	#00FFFF
sll1277	gene	1099214	1100368	-	RecF protein	COG1195L	#00FFFF
sll1276	gene	1100410	1102014	-	ATP-binding protein of ABC transporter	COG1132V	#80B584
sll1275	gene	1102283	1104058	-	pyruvate kinase 2	COG0469G	#FF5353
slr1362	gene	1104246	1104647	+	hypothetical protein	-	#333333
sll1274	gene	1105030	1105545	-	hypothetical protein	-	#333333
slr1363	gene	1105666	1107168	+	hypothetical protein	COG2326S	#C98767
slr1364	gene	1107242	1108330	+	biotin synthetase	COG0502H	#FFA4A4
slr1365	gene	1108314	1108967	+	hypothetical protein	COG1268R	#C27E3A
slr1366	gene	1108967	1109452	+	lipoprotein signal peptidase (signal peptidase II)	COG0597MU	#CEA8F4
sll1273	gene	1109620	1111044	-	unknown protein	-	#333333
sll1272	gene	1111185	1111955	-	unknown protein	-	#333333
ssl2507	gene	1112230	1112475	-	unknown protein	NA	#333333
sll1271	gene	1112531	1114249	-	probable porin; major outer membrane protein	-	#333333
sll1270	gene	1114429	1116021	-	periplasmic substrate-binding and integral membrane protein of the ABC-type Bgt permease for basic amino acids and glutamine BgtB	COG0765E	#FF7373
ssl2502	gene	1116025	1116261	-	unknown protein	NA	#333333
ssl2501	gene	1116360	1116629	-	unknown protein	-	#333333
slr1367	gene	1117107	1119674	+	glycogen phosphorylase	COG0058G	#FF5353
slr1368	gene	1119826	1120509	+	precorrin decarbocylase	COG2242H	#FFA4A4
slr1369	gene	1120643	1121524	+	phosphatidate cytidylyltransferase	COG0575I	#FF3333
sll1268	gene	1121627	1123180	-	unknown protein	-	#333333
sll1267	gene	1123441	1124031	-	unknown protein	-	#333333
sll1265	gene	1124071	1130007	-	unknown protein	COG2911S	#C98767
sll0877	gene	1130313	1131683	-	hypothetical protein	-	#333333
slr0875	gene	1131810	1132247	+	large-conductance mechanosensitive channel	COG1970M	#A6CAA9
sll0876	gene	1132264	1132899	-	Holliday junction DNA helicase RuvA	COG0632L	#00FFFF
sll0875	gene	1132914	1133690	-	hypothetical protein	COG1836S	#C98767
slr0876	gene	1133879	1135108	+	hypothetical protein	COG0446R	#C27E3A
ssr1480	gene	1135337	1135588	+	putative RNA-binding protein	COG0724R	#C27E3A
slr0877	gene	1135716	1137167	+	glutamyl-tRNA(Gln) amidotransferase subunit A	COG0154J	#0066FF
slr0878	gene	1137375	1138112	+	hypothetical protein	COG0739M	#A6CAA9
slr0879	gene	1138210	1138608	+	glycine decarboxylase complex H-protein	COG0509E	#FF7373
slr0880	gene	1138702	1140474	+	similar to fibronectin binding protein	COG1293K	#99CCFF
sll0873	gene	1140497	1141660	-	carboxynorspermidine decarboxylase	COG0019E	#FF7373
ssl1633	gene	1141803	1141946	-	high light-inducible polypeptide HliC, CAB/ELIP/HLIP superfamily	-	#333333
slr0881	gene	1142101	1142412	+	unknown protein	-	#333333
sll0872	gene	1142501	1142893	-	unknown protein	-	#333333
slr0882	gene	1143047	1144231	+	hypothetical protein YCF84	COG0795R	#C27E3A
slr0883	gene	1144728	1146173	+	hypothetical protein	COG1316K	#99CCFF
sll0871	gene	1146290	1146718	-	hypothetical protein	-	#333333
slr0884	gene	1147034	1148098	+	glyceraldehyde 3-phosphate dehydrogenase 1 (NAD+)	COG0057G	#FF5353
slr0885	gene	1148722	1149297	+	hypothetical protein	COG4636S	#C98767
sll0869	gene	1149471	1150067	-	Leu/Phe-tRNA-protein transferase	COG2360O	#72FE95
sll0868	gene	1150122	1151033	-	lipoic acid synthetase	COG0320H	#FFA4A4
sll0867	gene	1151139	1152347	-	hypothetical protein	COG1453R	#C27E3A
slr0886	gene	1152549	1153292	+	3-oxoacyl-[acyl-carrier protein] reductase	COG1028IQR	#FFACEC
slr0887	gene	1153292	1154101	+	hypothetical protein	COG0115EH	#F0CBFE
slr0888	gene	1154330	1154836	+	hypothetical protein	-	#333333
slr0889	gene	1154857	1156083	+	hypothetical protein	COG0661R	#C27E3A
ssr1499	gene	1156234	1156503	+	hypothetical protein	-	#333333
slr0890	gene	1156580	1156975	+	unknown protein	-	#333333
sll0865	gene	1157029	1158909	-	excinuclease ABC subunit C	COG0322L	#00FFFF
slr0891	gene	1159029	1160804	+	N-acetylmuramoyl-L-alanine amidase	COG0860M	#A6CAA9
sll0864	gene	1160787	1161260	-	hypothetical protein	COG1310R	#C27E3A
sll0863	gene	1161441	1161842	-	hypothetical protein	-	#333333
sll0862	gene	1161856	1163367	-	hypothetical protein	COG0750M	#A6CAA9
sll0861	gene	1163421	1164338	-	hypothetical protein	COG2103R	#C27E3A
sll0860	gene	1164496	1165017	-	hypothetical protein	-	#333333
sll1317	gene	1165087	1166073	-	apocytochrome f,  component of cytochrome b6/f complex	-	#333333
sll1316	gene	1166186	1166728	-	cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein)	COG0723C	#991616
ssl2598	gene	1167053	1167247	-	photosystem II PsbH protein	-	#333333
smr0009	gene	1167333	1167464	+	photosystem II PsbN protein	-	#333333
ssl2595	gene	1167510	1167779	-	hypothetical protein	COG2350S	#C98767
sll1315	gene	1167961	1169019	-	unknown protein	COG1520S	#C98767
sll1314	gene	1169078	1170187	-	putative C4-dicarboxylase binding protein, periplasmic protein	COG1638G	#FF5353
slr1403	gene	1170571	1179621	+	unknown protein	-	#333333
sll1308	gene	1179926	1180672	-	probable oxidoreductase	COG0300R	#C27E3A
slr1406	gene	1181064	1181609	+	periplasmic protein, function unknown	COG3193R	#C27E3A
slr1407	gene	1181716	1182585	+	unknown protein	-	#333333
slr1409	gene	1182665	1183645	+	periplasmic WD-repeat protein	COG2319R	#C27E3A
slr1410	gene	1183660	1184664	+	periplasmic WD-repeat protein	COG2319R	#C27E3A
sll1307	gene	1184711	1185238	-	periplasmic protein, function unknown	COG3193R	#C27E3A
sll1306	gene	1185300	1186307	-	periplasmic protein, function unknown	COG0726G	#FF5353
sll1305	gene	1186311	1187198	-	probable hydrolase	COG0596R	#C27E3A
sll1304	gene	1187219	1188082	-	unknown protein	COG1082G	#FF5353
sll1785	gene	1188079	1188885	-	periplasmic protein, function unknown	-	#333333
ssl3410	gene	1188912	1189082	-	unknown protein	NA	#333333
sll1784	gene	1189110	1189913	-	periplasmic protein, function unknown	COG2140GR	#C79BF2
sll1783	gene	1189940	1190383	-	hypothetical protein	COG1359S	#C98767
slr1852	gene	1190867	1191433	+	unknown protein	-	#333333
slr1853	gene	1191445	1191786	+	carboxymuconolactone decarboxylase	COG0599S	#C98767
slr1854	gene	1191856	1192452	+	unknown protein	COG0693R	#C27E3A
slr1855	gene	1192485	1194308	+	unknown protein	COG2942G	#FF5353
slr1856	gene	1194314	1194643	+	phosphoprotein substrate of icfG gene cluster	COG1366T	#93BF96
slr1857	gene	1194653	1196776	+	isoamylase	COG1523G	#FF5353
slr1859	gene	1196836	1197162	+	anti-sigma f factor antagonist	COG1366T	#93BF96
slr1860	gene	1197262	1199166	+	carbon metabolisms regulatory protein IcfG	COG2208TK	#C4ABFE
slr1861	gene	1199172	1199603	+	probable sigma regulatory factor	COG2172T	#93BF96
slr1862	gene	1199708	1200412	+	unknown protein	COG3875S	#C98767
sll1780	gene	1200376	1201392	-	putative transposase [ISY203b: 1200306 - 1201479]	COG3385L	#00FFFF
slr1863	gene	1201494	1203014	+	unknown protein	-	#333333
slr1864	gene	1203028	1204098	+	hypothetical protein	COG0679R	#C27E3A
slr1865	gene	1204276	1205538	+	unknown protein	COG1653G	#FF5353
slr1866	gene	1205546	1206547	+	unknown protein	-	#333333
slr1867	gene	1206947	1207993	+	anthranilate phosphoribosyltransferase	COG0547E	#FF7373
sll1776	gene	1208020	1208697	-	deoxyribose-phosphate aldolase	COG0274F	#FF8E8E
sll1775	gene	1208749	1211202	-	hypothetical protein	COG4354G	#FF5353
ssr3154	gene	1211401	1211625	+	hypothetical protein	NA	#333333
sll1774	gene	1211638	1212420	-	hypothetical protein	COG5464S	#C98767
slr1869	gene	1212609	1213358	+	unknown protein	-	#333333
ssr3159	gene	1213518	1213796	+	unknown protein	NA	#333333
slr1870	gene	1214188	1214937	+	hypothetical protein	COG1432S	#C98767
ssl3389	gene	1215167	1215403	-	hypothetical protein	NA	#333333
sll1773	gene	1215453	1216151	-	hypothetical protein	COG1741R	#C27E3A
slr1871	gene	1216281	1217168	+	transcriptional regulator	COG0583K	#99CCFF
sll1772	gene	1217156	1219624	-	DNA mismatch repair protein MutS	COG1193L	#00FFFF
sll1771	gene	1219654	1220418	-	protein serin-threonin phosphatase	COG0631T	#93BF96
sll1770	gene	1220473	1222230	-	hypothetical protein	COG0661R	#C27E3A
sll1769	gene	1222610	1222927	-	hypothetical protein	-	#333333
ssl3383	gene	1222937	1223209	-	unknown protein	-	#333333
ssl3382	gene	1223255	1223431	-	hypothetical protein	-	#333333
sll1768	gene	1223666	1224646	-	probable oligopeptides ABC transporter permease protein	COG0601EP	#DBBFF7
slr1874	gene	1224777	1225841	+	D-alanine--D-alanine ligase	COG1181M	#A6CAA9
slr1875	gene	1225928	1226566	+	hypothetical protein	COG3932R	#C27E3A
ssl3379	gene	1226686	1226982	-	hypothetical protein	COG2127S	#C98767
slr1876	gene	1227090	1227563	+	hypothetical protein	COG0680C	#991616
sll1767	gene	1227591	1227932	-	30S ribosomal protein S6	COG0360J	#0066FF
slr1877	gene	1228237	1229067	+	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	COG0179Q	#993366
slr1878	gene	1229120	1229938	+	phycocyanin alpha-subunit phycocyanobilin lyase	COG1413C	#991616
sll1766	gene	1229971	1231167	-	hypothetical protein	COG0641R	#C27E3A
sll1765	gene	1231207	1231686	-	unknown protein	-	#333333
sll1764	gene	1231770	1232204	-	unknown protein	-	#333333
sll1763	gene	1232271	1232675	-	unknown protein	-	#333333
sll1762	gene	1232784	1233683	-	periplasmic protein, putative polar amino acid transport system substrate-binding protein	COG0834ET	#A27AFE
slr1879	gene	1233784	1234512	+	precorrin-2 methyltransferase	COG2243H	#FFA4A4
sll1761	gene	1234509	1235123	-	unknown protein	COG5661O	#72FE95
sll1760	gene	1235136	1236056	-	homoserine kinase	COG0083E	#FF7373
slr1880	gene	1236316	1237449	+	hypothetical protein	COG2334R	#C27E3A
sll1758	gene	1237543	1238988	-	MrsA protein homolog	COG1109G	#FF5353
ssr3184	gene	1239156	1239383	+	4Fe-4S type iron-sulfur protein	COG1143C	#991616
slr1881	gene	1239490	1240212	+	ATP-binding subunit of the ABC-type Nat permease for neutral amino acids	COG0410E	#FF7373
slr1882	gene	1240361	1241302	+	riboflavin biosynthesis protein RibF	COG0196H	#FFA4A4
sll1757	gene	1241313	1242191	-	hypothetical protein	-	#333333
ssr3188	gene	1242336	1242605	+	hypothetical protein	-	#333333
ssl3364	gene	1242765	1242989	-	CP12 polypeptide	-	#333333
slr1884	gene	1243274	1244287	+	tryptophanyl-tRNA synthetase	COG0180J	#0066FF
ssr3189	gene	1244438	1244605	+	hypothetical protein	-	#333333
slr1885	gene	1244731	1245309	+	hypothetical protein	COG1713H	#FFA4A4
slr1886	gene	1245395	1245859	+	hypothetical protein	COG0799S	#C98767
sll1755	gene	1245892	1247115	-	unknown protein	-	#333333
slr1887	gene	1247192	1248154	+	porphobilinogen deaminase (hydroxymethylbilane synthase, preuroporphyrinogen synthase)	COG0181H	#FFA4A4
slr1888	gene	1248284	1250176	+	4-hydroxybutyrate coenzyme A transferase.	COG0427C	#991616
slr2132	gene	1250442	1252535	+	phosphotransacetylase	COG0280C	#991616
sll2015	gene	1252593	1253207	-	hypothetical protein	COG5493S	#C98767
sll2014	gene	1253269	1253982	-	sugar fermentation stimulation protein	COG1489R	#C27E3A
sll2013	gene	1254036	1254623	-	hypothetical protein	-	#333333
sll2012	gene	1254783	1255739	-	group2 RNA polymerase sigma factor SigD	COG0568K	#99CCFF
sll2011	gene	1256125	1256751	-	hypothetical protein	COG0602O	#72FE95
sll2010	gene	1256905	1258263	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase	COG0771M	#A6CAA9
sll2009	gene	1258444	1259751	-	processing protease	COG0612R	#C27E3A
sll2008	gene	1259760	1261052	-	processing protease	COG0612R	#C27E3A
slr2135	gene	1261217	1261993	+	hydrogenase accessory protein HupE	COG2370O	#72FE95
slr2136	gene	1262049	1263260	+	GcpE protein homolog	COG0821I	#FF3333
sll2007	gene	1263414	1263830	-	hypothetical protein	COG1403V	#80B584
sll2006	gene	1263823	1264179	-	hypothetical protein	-	#333333
sll2005	gene	1264328	1267564	-	DNA gyrase B subunit  [Contains: Ssp gyrB intein]	COG0187L	#00FFFF
ssl3829	gene	1267693	1267950	-	hypothetical protein	-	#333333
sml0007	gene	1268189	1268308	-	photosystem II protein Y	-	#333333
slr2141	gene	1268388	1269410	+	hypothetical protein	COG0685E	#FF7373
sll2003	gene	1269407	1270960	-	hypothetical protein	COG1807M	#A6CAA9
slr2143	gene	1271069	1272274	+	L-cysteine/cystine lyase	COG0520E	#FF7373
sll2002	gene	1272370	1273248	-	hypothetical protein	-	#333333
slr2144	gene	1273408	1274313	+	periplasmic protein, function unknown	-	#333333
slr1803	gene	1274352	1275281	+	adenine-specific DNA methylase	COG0338L	#00FFFF
sll1710	gene	1275372	1276157	-	putative transposase [ISY523b: 1275354 - 1276224]	COG3293L	#00FFFF
sll1709	gene	1276236	1276982	-	3-ketoacyl-acyl carrier protein reductase	COG1028IQR	#FFACEC
ssl3291	gene	1277108	1277392	-	hypothetical protein	COG2343S	#C98767
sll1708	gene	1277442	1278122	-	two-component response regulator NarL subfamily	COG2197TK	#C4ABFE
slr1804	gene	1278157	1278459	+	unknown protein	NA	#333333
slr1805	gene	1278431	1280542	+	two-component sensor histidine kinase	COG3447T	#93BF96
sll1704	gene	1280567	1281337	-	probable short chain dehydrogenase	COG1028IQR	#FFACEC
sll1703	gene	1281361	1283193	-	protease IV	COG0616OU	#E1CAF9
sll1702	gene	1283190	1283702	-	hypothetical protein YCF51	-	#333333
